OrganisationLabel,OrganisationalUnit,TransactionNumber,BeneficiaryName,ExpenseType,PaymentDate,Amount
Cheltenham Borough Council,R & M of Build - Reactive Repairs,14035823,Complete Climate Solutions,R2008-CUL117,10/04/2015,924.51
Cheltenham Borough Council,Mechanical Services,14036097,Complete Climate Solutions,R2080-OPS101,24/04/2015,948.0
Cheltenham Borough Council,Mechanical Services,14036097,Complete Climate Solutions,R2080-OPS101,24/04/2015,5632.0
Cheltenham Borough Council,Grounds Maintenance - Contract,14035297,Cotswold Drain Service Limited,R2075-OPS001,17/04/2015,9820.0
Cheltenham Borough Council,Grants,14036059,County Community Projects (CCP),R6280-GBD103,17/04/2015,54000.0
Cheltenham Borough Council,Building Works,14035969,Curtins Consulting Limited,C1107-CAH016,10/04/2015,931.5
Cheltenham Borough Council,Tools & Equipment - R & M,14035960,D A Jones Landscapes,R4003-OPS002,10/04/2015,780.0
Cheltenham Borough Council,Services - Fees and Charges,14036367,DEBORAH JEREMIAH,R4401-COM001,24/04/2015,500.0
Cheltenham Borough Council,Services - Fees and Charges,14036118,Dr Young & Partners,R4401-CCM001,10/04/2015,12474.0
Cheltenham Borough Council,R & M of Fix & Fit - General,14035540,DTZ DTL Limited,R2001-CPK101,10/04/2015,18073.88
Cheltenham Borough Council,Printing - Services,14036181,Dundore Limited T/A Security Data Print,R4300-LTC001,17/04/2015,6085.17
Cheltenham Borough Council,Electricity,14036323,Ener-G Combined Power (South) Limited,R2100-REC111,17/04/2015,4387.32
Cheltenham Borough Council,Building Works,14036185,English Landscapes Limited t/a The Landscape Group,C1107-CAH029,17/04/2015,3853.16
Cheltenham Borough Council,Building Works,14036184,English Landscapes Limited t/a The Landscape Group,C1107-CAH029,17/04/2015,5500.0
Cheltenham Borough Council,Building Works,14036180,English Landscapes Limited t/a The Landscape Group,C1107-CAH005,17/04/2015,20222.32
Cheltenham Borough Council,Building Works,14035957,Environmental Management Solutions Limited,C1107-CAH012,10/04/2015,24679.5
Cheltenham Borough Council,Community Sponsorship,14036005,Exclusive Ballooning Limited,R4617-GBD001,10/04/2015,1451.92
Cheltenham Borough Council,Building Works,14035959,Facilities Management & Builiding Repairs Limited,C1107-CAH035,10/04/2015,29595.37
Cheltenham Borough Council,Building Works,14035974,Focus Ecology Limited,C1107-CAH050,10/04/2015,885.0
Cheltenham Borough Council,Refund of Overpiad Rent,14036040,REDACTED,R9910-HRA900,10/04/2015,886.61
Cheltenham Borough Council,Tree Work,14036189,Gaskins Treework Specialists,R2070-HRA110,17/04/2015,810.0
Cheltenham Borough Council,Tree Work,14036023,Gaskins Treework Specialists,R2070-PLP006,17/04/2015,3892.5
Cheltenham Borough Council,Services - Fees and Charges,14036082,Gemini Consultants Limited,R4401-HAV001,17/04/2015,6090.92
Cheltenham Borough Council,Consultancy Fees,14036304,Gloucester City Council,R4411-AIR101,17/04/2015,6000.0
Cheltenham Borough Council,Enhanced Pension,14036090,GLOUCESTERSHIRE COUNTY COUNCIL (LGPS ONLY),R1301-SUP038,10/04/2015,16621.8
Cheltenham Borough Council,Services - Professional Fees,14036145,Gloucestershire Rural Community Council,R4400-PLP001,17/04/2015,7300.0
Cheltenham Borough Council,R & M of Build Drain Cleaning,14035753,Greenway Partnership Limited T/A GPL Building Services,R2043-ADB103,10/04/2015,517.06
Cheltenham Borough Council,R & M of Build Cyclical Electrical Remedials,14036334,Greenway Partnership Limited T/A GPL Building Services,R2062-CPK101,17/04/2015,522.0
Cheltenham Borough Council,R & M of Build Programmed,14035757,Greenway Partnership Limited T/A GPL Building Services,R2004-OPS122,17/04/2015,530.0
Cheltenham Borough Council,R & M of Build Drain Cleaning,14035756,Greenway Partnership Limited T/A GPL Building Services,R2043-ADB103,10/04/2015,531.46
Cheltenham Borough Council,R & M of Build Drain Cleaning,14035758,Greenway Partnership Limited T/A GPL Building Services,R2043-CPK101,10/04/2015,882.45
Cheltenham Borough Council,R & M of Build Cyclical Electrical Remedials,14036335,Greenway Partnership Limited T/A GPL Building Services,R2062-CPK101,17/04/2015,1044.0
Cheltenham Borough Council,Fixtures and Fittings - Purchases,14036336,Greenway Partnership Limited T/A GPL Building Services,R2500-CUL113,17/04/2015,1155.0
Cheltenham Borough Council,Sanitary and Plumbing,14036333,Greenway Partnership Limited T/A GPL Building Services,R2079-REG019,17/04/2015,1256.0
Cheltenham Borough Council,R & M of Build Drain Cleaning,14036317,Greenway Partnership Limited T/A GPL Building Services,R2043-ADB103,17/04/2015,1331.92
Cheltenham Borough Council,Grounds Maintenance - Contract,14036142,Greenway Partnership Limited T/A GPL Building Services,R2075-OPS004,10/04/2015,1888.0
Cheltenham Borough Council,Surveyors Fees,14036098,GVA Grimley Limited,C1005-CAP401,10/04/2015,2066.0
Cheltenham Borough Council,Surveyors Fees,14036093,GVA Grimley Limited,C1005-CAP401,10/04/2015,2584.84
Cheltenham Borough Council,IT - Maint Agreements,14035943,Halarose Limited,R4534-ELE001,10/04/2015,505.21
Cheltenham Borough Council,IT - Maint Agreements,14035943,Halarose Limited,R4534-ELE002,10/04/2015,505.21
Cheltenham Borough Council,Training Fees (External),14036348,Halarose Limited,R1652-ELE002,17/04/2015,650.0
Cheltenham Borough Council,Agency Staff,14036272,Hays Specialist Recruitment Limited,R1100-SUP025,24/04/2015,883.2
Cheltenham Borough Council,Agency Staff,14036269,Hays Specialist Recruitment Limited,R1100-SUP025,24/04/2015,912.64
Cheltenham Borough Council,Agency Staff,14036270,Hays Specialist Recruitment Limited,R1100-SUP025,24/04/2015,934.72
Cheltenham Borough Council,Agency Staff,14036268,Hays Specialist Recruitment Limited,R1100-SUP025,24/04/2015,986.24
Cheltenham Borough Council,Agency Staff,14036271,Hays Specialist Recruitment Limited,R1100-SUP025,24/04/2015,1089.28
Cheltenham Borough Council,Communal Alarms - Monitoring & Maintenance,14036225,Herefordshire Housing Limited,R4445-HRA110,17/04/2015,514.8
Cheltenham Borough Council,Communal Alarms - Monitoring & Maintenance,14036232,Herefordshire Housing Limited,R4445-HRA110,17/04/2015,543.4
Cheltenham Borough Council,Communal Alarms - Monitoring & Maintenance,14036252,Herefordshire Housing Limited,R4445-HRA110,24/04/2015,737.88
Cheltenham Borough Council,Communal Alarms - Monitoring & Maintenance,14036252,Herefordshire Housing Limited,R4445-SPP002,24/04/2015,12577.5
Cheltenham Borough Council,CIS Deductions Control (reallocated),14036155,HMRC (CBC - CIS),B6220-BAL100,10/04/2015,2334.18
Cheltenham Borough Council,IT - Maint Agreements,14036160,Hoge 100 Business Systems Limited,R4534-RYC002,17/04/2015,3750.0
Cheltenham Borough Council,IT - Purchase of Software,14036131,Hoge 100 Business Systems Limited,R4531-RYC002,10/04/2015,6800.0
Cheltenham Borough Council,Grants,14036003,Homicide Review Services Ltd,R6280-COM001,10/04/2015,2250.0
Cheltenham Borough Council,R & M of Build Cyclical Painting Communal Areas,14036175,Ian Williams Limited,R2060-HRA100,17/04/2015,35477.32
Cheltenham Borough Council,Open Spaces and Grassed Areas,14036152,J P North (Farmer),R2071-OPS002,10/04/2015,1172.0
Cheltenham Borough Council,Grounds Maintenance - Non Contract,14036127,Jayson R C Bayliss,R2076-OPS002,17/04/2015,525.0
Cheltenham Borough Council,Acquisition of Equipment,14036127,Jayson R C Bayliss,C4000-CAP102,17/04/2015,650.0
Cheltenham Borough Council,Grounds Maintenance - Non Contract,14036127,Jayson R C Bayliss,R2076-OPS002,17/04/2015,950.0
Cheltenham Borough Council,Grounds Maintenance - Contract,14036127,Jayson R C Bayliss,R2075-OPS001,17/04/2015,975.0
Cheltenham Borough Council,Grounds Maintenance - Contract,14036128,Jayson R C Bayliss,R2075-OPS001,17/04/2015,1445.0
Cheltenham Borough Council,Grounds Maintenance - Contract,14036128,Jayson R C Bayliss,R2075-OPS001,17/04/2015,1555.0
Cheltenham Borough Council,Acquisition of Equipment,14036127,Jayson R C Bayliss,C4000-CAP102,17/04/2015,2000.0
Cheltenham Borough Council,Grounds Maintenance - Contract,14036127,Jayson R C Bayliss,R2075-OPS001,17/04/2015,3600.0
Cheltenham Borough Council,Tools & Equipment - Lease/Rental,14036173,John Gillman & Sons (Electrical) Limited (Gillmans Appliance),R4002-HRA110,17/04/2015,1980.71
Cheltenham Borough Council,Tools & Equipment - Lease/Rental,14036172,John Gillman & Sons (Electrical) Limited (Gillmans Appliance),R4002-HRA110,17/04/2015,1980.71
Cheltenham Borough Council,Tools & Equipment - Lease/Rental,14036174,John Gillman & Sons (Electrical) Limited (Gillmans Appliance),R4002-HRA110,17/04/2015,1980.71
Cheltenham Borough Council,Fees - Agency,14036092,Justin Ayton Limited,C6002-CAP001,17/04/2015,2000.0
Cheltenham Borough Council,Contributions,14035566,Leckhampton with Warden Hill Park Council,C5001-CAP101,17/04/2015,18500.0
Cheltenham Borough Council,Services - Professional Fees,14036195,LOCAL GOVERNMENT ASSOCIATION,R4400-COR006,17/04/2015,284.03
Cheltenham Borough Council,Services - Professional Fees,14036195,LOCAL GOVERNMENT ASSOCIATION,R4400-COR006,17/04/2015,1465.09
Cheltenham Borough Council,Consultancy Fees,14035946,Local Government Association (LGA),R4411-COR001,10/04/2015,10000.0
Cheltenham Borough Council,Subscriptions,14036151,Local Government Association (LGA),R4701-DRM008,10/04/2015,10450.0
Cheltenham Borough Council,Building Works,14036134,M J Loveridge Limited,C1107-CAH037,17/04/2015,702.0
Cheltenham Borough Council,Materials - Other Materials,14036148,Mark Wroot Agricultural & Garden Services,R4010-OPS004,10/04/2015,800.0
Cheltenham Borough Council,R & M of Build Cyclical Electrical Remedials,14036014,Massie Electrics Limited,R2062-ADB101,10/04/2015,601.48
Cheltenham Borough Council,R & M of Build Cyclical Electrical Remedials,14035993,Massie Electrics Limited,R2062-REC111,10/04/2015,761.67
Cheltenham Borough Council,Materials - Other Materials,14036140,Matta Products (UK) Limited,R4010-OPS002,10/04/2015,1330.5
Cheltenham Borough Council,Tools & Equipment - R & M,14036140,Matta Products (UK) Limited,R4003-OPS002,10/04/2015,2589.0
Cheltenham Borough Council,Grants,14036037,Mears Home Improvements (Client Account),C5000-CAP221,10/04/2015,5225.78
Cheltenham Borough Council,IT - Maint Agreements,14035941,Meridian Options Systems Support Limited,R4534-SUP008,10/04/2015,9119.88
Cheltenham Borough Council,Legal Expenses And Court Costs,14035877,Mishcon de Reya,R4420-COR006,10/04/2015,5000.0
Cheltenham Borough Council,Services - Fees and Charges,14036042,Modern Mindset Limited,R4401-DRM001,10/04/2015,6870.0
Cheltenham Borough Council,R & M of Build Central Heating,14036138,Morgan Lambert Limited,R2040-HRA100,17/04/2015,1804.0
Cheltenham Borough Council,Services - Professional Fees,14036125,REDACTED,R4400-PLP101,17/04/2015,2614.08
Cheltenham Borough Council,Services - Fees and Charges,14036147,REDACTED,R4401-CCM001,10/04/2015,806.62
Cheltenham Borough Council,Refund of Overpiad Rent,14034796,REDACTED,R9910-HRA900,17/04/2015,563.55
Cheltenham Borough Council,Refund of Overpiad Rent,14036461,REDACTED,R9910-HRA900,24/04/2015,1913.78
Cheltenham Borough Council,Refund of Overpiad Rent,14036463,REDACTED,R9910-HRA900,24/04/2015,1500.0
Cheltenham Borough Council,Tree Work,14035951,N C Eldridge T/A Eldridge Tree Services,R2070-HRA110,17/04/2015,700.0
Cheltenham Borough Council,R & M of Build Programmed,14035898,Nick Bevan Consulting Limited,R2004-CCM111,10/04/2015,585.0
Cheltenham Borough Council,Building Works,14035983,NKS Contracts (Central) Limited,C1107-CAH016,10/04/2015,1370.0
Cheltenham Borough Council,Building Works,14035984,NKS Contracts (Central) Limited,C1107-CAH016,10/04/2015,2080.0
Cheltenham Borough Council,Building Works,14035985,NKS Contracts (Central) Limited,C1107-CAH014,10/04/2015,3589.81
Cheltenham Borough Council,Building Works,14036415,NKS Contracts (Central) Limited,C1107-CAH004,24/04/2015,13953.34
Cheltenham Borough Council,Building Works,14035958,NKS Contracts (Central) Limited,C1107-CAH002,10/04/2015,29103.32
Cheltenham Borough Council,Non Staff Advertising,14036137,Now Media Limited,R4317-LTC001,10/04/2015,686.0
Cheltenham Borough Council,R&M of Build - Routine,14036094,Omega Red Group Limited,R2083-CUL117,10/04/2015,567.53
Cheltenham Borough Council,Tools & Equipment - R & M,14036075,OpenView Security Solutions Limited,R4003-CCT001,17/04/2015,1419.17
Cheltenham Borough Council,R & M of Build Standby and Call Out,14036306,Orbis Protect Limited,R2012-HRA100,17/04/2015,1047.03
Cheltenham Borough Council,Tools & Equipment - R & M,14035979,Parkeon Limited,R4003-CPK001,17/04/2015,993.0
Cheltenham Borough Council,Tools & Equipment - Lease/Rental,14036299,Personnel Hygiene Services (PHS Group),R4002-REG019,17/04/2015,1355.53
Cheltenham Borough Council,Postages - franking machine,14036162,Pitney Bowes - Postage by Phone,R4521-SUP024,10/04/2015,4998.0
Cheltenham Borough Council,Services - General Licences,14036295,PRS for Music,R4402-CUL102,17/04/2015,3612.5
Cheltenham Borough Council,Building Works,14035947,Rainer Security Products Limited,C1107-CAH005,10/04/2015,508.5
Cheltenham Borough Council,Partnership Staff Fees,14035876,RE Personnel Limited T/A REP Security Limited,R4409-CCR001,10/04/2015,2100.0
Cheltenham Borough Council,Photocopier Operating Lease,14036043,Ricoh UK Limited,R4304-SUP022,17/04/2015,897.77
Cheltenham Borough Council,Photocopier Operating Lease,14036054,Ricoh UK Limited,R4304-SUP022,17/04/2015,7239.41
Cheltenham Borough Council,Postages - franking machine,14036211,Royal Mail,R4521-RYC002,17/04/2015,503.22
Cheltenham Borough Council,Postages - franking machine,14036274,Royal Mail,R4521-LTC001,17/04/2015,634.53
Cheltenham Borough Council,Postages - franking machine,14036274,Royal Mail,R4521-ELE010,17/04/2015,652.65
Cheltenham Borough Council,Postages - franking machine,14036290,Royal Mail,R4521-LTC001,24/04/2015,695.46
Cheltenham Borough Council,Postages - franking machine,14036273,Royal Mail,R4521-LTC001,17/04/2015,844.32
Cheltenham Borough Council,Postages - stamps,14036290,Royal Mail,R4520-LTC011,24/04/2015,896.68
Cheltenham Borough Council,Postages - stamps,14036273,Royal Mail,R4520-SUP012,17/04/2015,1793.16
Cheltenham Borough Council,Postages - franking machine,14036211,Royal Mail,R4521-HBA001,17/04/2015,2344.84
Cheltenham Borough Council,Operational Materials,14036426,Scot-petshop,R4026-GBD001,24/04/2015,833.33
Cheltenham Borough Council,Equipment Purchase,14036193,Shaw & Sons Limited,R4000-ELE004,17/04/2015,618.75
Cheltenham Borough Council,Building Works,14036164,Snape Contracting Limited (Snapecall),C1107-CAH005,17/04/2015,2400.0
Cheltenham Borough Council,Building Works,14035963,Snape Contracting Limited (Snapecall),C1107-CAH024,10/04/2015,47048.61
Cheltenham Borough Council,Agency Staff,14036053,Sonovate Ltd,R1100-REG001,10/04/2015,775.5
Cheltenham Borough Council,Subscriptions,14036143,South West Councils,R4701-DRM008,10/04/2015,5687.0
Cheltenham Borough Council,Protective Clothing,14035952,Spaldings Limited,R4200-CCM001,10/04/2015,538.7
Cheltenham Borough Council,Grants,14036352,ST Pauls Road Area Residents Association (SPRA),R6280-GBD001,17/04/2015,634.41
Cheltenham Borough Council,Equipment Purchase,14036153,Straight plc,R4000-RYC006,10/04/2015,11088.0
Wirral Metropolitan Borough Council,LAW HR ASSET MANAGEMENT,1547338,1 CALL BUSINESS SOLUTIONS LTD,,16/03/2015,11016.0
Wirral Metropolitan Borough Council,LAW HR ASSET MANAGEMENT,1547338,1 CALL BUSINESS SOLUTIONS LTD,,16/03/2015,1430.64
Wirral Metropolitan Borough Council,LAW HR ASSET MANAGEMENT,1547338,1 CALL BUSINESS SOLUTIONS LTD,,16/03/2015,1488.0
Wirral Metropolitan Borough Council,LAW HR ASSET MANAGEMENT,1547338,1 CALL BUSINESS SOLUTIONS LTD,,16/03/2015,842.4
Wirral Metropolitan Borough Council,EDUCATION - SCHOOLS,1550809,1 CALL BUSINESS SOLUTIONS LTD,,30/03/2015,778.56
Wirral Metropolitan Borough Council,LAW HR ASSET MANAGEMENT,1547338,1 CALL BUSINESS SOLUTIONS LTD,,16/03/2015,3057.18
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",1547765,A & A MARKETING LIMITED,,18/03/2015,1622.4
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",1547340,A & A MARKETING LIMITED,,16/03/2015,643.2
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1548059,A & A MARKETING LIMITED,,19/03/2015,3488.4
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1548863,A & J TAXIS,,23/03/2015,600.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545918,A 1 A TRAVEL,,11/03/2015,10246.45
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547112,A 1 A TRAVEL,,13/03/2015,10246.45
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1549083,A 1 A TRAVEL,,24/03/2015,10246.45
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1549083,A 1 A TRAVEL,,24/03/2015,10246.45
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1544350,A P CONTRACT HIRE LIMITED,,03/03/2015,1218.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1544350,A P CONTRACT HIRE LIMITED,,03/03/2015,1053.3
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545920,A P CONTRACT HIRE LIMITED,,11/03/2015,1128.24
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547766,A P CONTRACT HIRE LIMITED,,18/03/2015,1306.74
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",1549489,A S PLUMBING & HEATING,,25/03/2015,3780.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545921,A2B TRAVEL (UK) LIMITED,,11/03/2015,2853.3
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545921,A2B TRAVEL (UK) LIMITED,,11/03/2015,2853.3
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547114,A2B TRAVEL (UK) LIMITED,,13/03/2015,2853.3
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1548302,A2B TRAVEL (UK) LIMITED,,20/03/2015,2853.3
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1550812,A2B TRAVEL (UK) LIMITED,,30/03/2015,2853.3
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1550812,A2B TRAVEL (UK) LIMITED,,30/03/2015,821.35
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545484,A2B TRAVEL (UK) LIMITED,,09/03/2015,821.35
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545484,A2B TRAVEL (UK) LIMITED,,09/03/2015,821.35
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547114,A2B TRAVEL (UK) LIMITED,,13/03/2015,821.35
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1548302,A2B TRAVEL (UK) LIMITED,,20/03/2015,821.35
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",1544076,ABBEY STAIRLIFTS LIMITED,,02/03/2015,4995.0
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",1544076,ABBEY STAIRLIFTS LIMITED,,02/03/2015,2135.0
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",1545656,ABBEY STAIRLIFTS LIMITED,,10/03/2015,4275.0
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",1548061,ABBEY STAIRLIFTS LIMITED,,19/03/2015,1595.0
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",1548867,ABBEY STAIRLIFTS LIMITED,,23/03/2015,4015.0
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",1548867,ABBEY STAIRLIFTS LIMITED,,23/03/2015,1690.0
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1545218,AC  ENTERTAINMENT TECHNOLOGIES LIMITED,,06/03/2015,737.24
Wirral Metropolitan Borough Council,EDUCATION - SCHOOLS,1547561,ACADEMICS,,17/03/2015,1398.0
Wirral Metropolitan Borough Council,EDUCATION - SCHOOLS,1544644,ACADEMICS,,04/03/2015,672.0
Wirral Metropolitan Borough Council,ADULT SOCIAL SERVICES,1548064,ACCESS COMMUNITY SERVICES LIMITED,,19/03/2015,2114.48
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1549092,ACTIVATE ARTS LTD,,24/03/2015,1595.09
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",1549094,ADAMS SELFSTORE LLP,,24/03/2015,1368.0
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1550815,ADEPT CLEANING SERVICES,,30/03/2015,4156.89
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1544079,ADEPT CLEANING SERVICES,,02/03/2015,3974.11
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1547562,ADOPTION UK,,17/03/2015,1250.0
Wirral Metropolitan Borough Council,LAW HR ASSET MANAGEMENT,214231,ADVANCED CHILD CARE ASSESSMENTS LIMITED,,04/03/2015,586.39
Wirral Metropolitan Borough Council,LAW HR ASSET MANAGEMENT,214566,ADVANCED CHILD CARE ASSESSMENTS LIMITED,,25/03/2015,586.39
Wirral Metropolitan Borough Council,LAW HR ASSET MANAGEMENT,214566,ADVANCED CHILD CARE ASSESSMENTS LIMITED,,25/03/2015,2572.32
Wirral Metropolitan Borough Council,LAW HR ASSET MANAGEMENT,214478,ADVANCED CHILD CARE ASSESSMENTS LIMITED,,19/03/2015,788.14
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",1548828,AECOM INFRASTRUCTURE & ENVIRONMENT UK LIMITED,,20/03/2015,12988.27
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",1544947,AECOM LIMITED,,05/03/2015,3843.9
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",1547343,AECOM LIMITED,,16/03/2015,2632.63
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",1545222,AECOM LIMITED,,06/03/2015,1686.34
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",1545659,AECOM LIMITED,,10/03/2015,10698.4
Wirral Metropolitan Borough Council,TECHNICAL SERVICES,1548305,AFA EVENTS LIMITED,,20/03/2015,4800.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545223,AFTERCARE THE NEXT STEP LIMITED,,06/03/2015,1820.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1545223,AFTERCARE THE NEXT STEP LIMITED,,06/03/2015,3000.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1548869,AFTERCARE THE NEXT STEP LIMITED,,23/03/2015,3321.43
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1550817,AFTERCARE THE NEXT STEP LIMITED,,30/03/2015,2015.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE,1550817,AFTERCARE THE NEXT STEP LIMITED,,30/03/2015,3321.43
Wirral Metropolitan Borough Council,"REGENERATION, HOUSING & PLANNING",1548870,AGRID FENCING LIMITED,,23/03/2015,1906.2
Wirral Metropolitan Borough Council,LAW HR ASSET MANAGEMENT,1545225,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,,06/03/2015,616.03
