autoID,Car Park Name,Car Park Operator,Scheme Status,Part Time Award,Car Park Phone,Street 1,Street 2,Street 3,Town,County,Postcode,Physical Type,Payment Type,Number of Spaces,Disabled Spaces,Cycles,Motobike,Cars,Bus,Coach,Truck Parking Area,Monday Open,Monday Close,Monday 24,Monday Closed,Tuesday Open,Tuesday Close,Tuesday 24,Tuesday Closed,Wednesday Open,Wednesday Close,Wednesday 24,Wednesday Closed,Thursday Open,Thursday Close,Thursday 24,Thursday Closed,Friday Open,Friday Close,Friday 24,Friday Closed,Saturday Open,Saturday Close,Saturday 24,Saturday Closed,Sunday Open,Sunday Close,Sunday 24,Sunday Closed,Keywords,Long,Lat
20,St Andrews Multi Storey Car Park,Norwich City Council,Award,FALSE,01603 768018,Duke Street,,,Norwich,Norfolk,NR2 4TP,Multi-storey,On Foot,1086,55,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,"nowrich cathedral, noriwch city centre, jarrold shops, travel lodge norwich, elm hill, strangers hal",1.294726912,52.63066714
27,Car Haven Car Park,Peterborough City Council,Award,FALSE,01733 747474,St Peters Road,,,Peterborough,Cambridgeshire,PE1 1YX,Surface-Urban,Pay & Display,235,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,"peterborough cathedral, peterborough town centre",-0.24119545,52.57085849
28,Bluewater - Green Deck Car Park,Incentive Facilities Management Limited,Award,FALSE,0870 777 0252,Greenhithe,,,Greenhithe,Kent,DA9 9ST,Multi-storey,Free,1384,35,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,"Blue Water Shopping Centre,",0.273166895,51.44026594
29,Bluewater - Red Deck Car Park,Incentive Facilities Management Limited,Award,FALSE,0870 777 0252,Greenhithe,,,Greenhithe,Kent,DA9 9ST,Multi-storey,Free,1389,45,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,"Blue Water Shopping Centre,",0.270001888,51.44090795
30,Bluewater - Outer Green Surface Car Park,Incentive Facilities Management Limited,Award,FALSE,0870 777 0252,Greenhithe,,,Greenhithe,Kent,DA9 9ST,Surface,Free,470,20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,"Blue Water Shopping Centre,",0.2823,51.4504
31,Bluewater - Orange Car Park,Incentive Facilities Management Limited,Award,FALSE,0870 777 0252,Greenhithe,,,Greenhithe,Kent,DA9 9ST,Surface,Free,952,28,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,"Blue Water Shopping Centre,",0.275945663,51.43892172
32,Bluewater - Blue Car Park,Incentive Facilities Management Limited,Award,FALSE,0870 777 0252,Greenhithe,,,Greenhithe,Kent,DA9 9ST,Multi-storey,Free,3486,67,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,"Blue Water Shopping Centre,",0.273349285,51.4371026
33,Bluewater - Aqua Car Park,Incentive Facilities Management Limited,Award,FALSE,0870 777 0252,Greenhithe,,,Greenhithe,Kent,DA9 9ST,Surface,Free,1320,24,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,"Blue Water Shopping Centre,",0.266225338,51.43979112
34,Bluewater - Outer Red Surface Car Park,Incentive Facilities Management Limited,Award,FALSE,0870 777 0252,Greenhithe,,,Greenhithe,Kent,DA9 9ST,Surface,Free,435,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,"Blue Water Shopping Centre,",0.2823,51.4504
35,Glasgow Royal Infirmary Car Park,APCOA Parking (UK) Limited,Award,FALSE,0141 552 2009,4 Alexandra Parade,,,Glasgow,Scotland,G31 2ET,Multi-storey,On Foot,1056,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,"Glasgow Royal Infirmary Hospital, Alexander Parade Glasgow",-4.23393892,55.86541906
37,Radisson Blu Hotel - London Stansted Airport,Radisson Blu,Award,FALSE,01279 661012,Waltham Close,,,London Stansted Airport,Essex,CM24 1PP,Surface-Urban,On Foot,215,13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,"Radisson Hotel,  london stanstead airport",0.264650934,51.89226425
38,NCP Glasgow Airport Flightpath Car Park,NCP Limited,Award,FALSE,0141 840 1469,Inchinan Road,,,Paisley,Lanarkshire,PA3 2AY,Surface,On Foot,1800,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,-4.423615,55.865611
39,NCP Glasgow Airport MSCP 1,NCP Limited,Award,FALSE,0141 889 9530,1 St Andrews Drive,,,Paisley,Lanarkshire,PA3 2ST,Multi-storey,On Foot,825,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,-4.432082705,55.86465455
40,NCP Glasgow Airport 3,NCP Limited,Award,FALSE,0141 889 9530,St Andrews Drive,,,Paisley,Lanarkshire,PA3 2ST,Surface,On Foot,524,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,-4.432082705,55.86465455
41,NCP Glasshouse MSCP,NCP Limited,Award,FALSE,0141 552 3150,68 Glassford Street,,,Glasgow,Lanarkshire,G1 1UP,Multi-storey,On Foot,525,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,-4.248578151,55.8590408
42,NCP Mitchell Street MSCP,NCP Limited,Award,FALSE,0141 221 3486,Mitchell Street,,,Glasgow,Lanarkshire,G1 3LN,Surface,On Foot,240,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,-4.256205307,55.86022234
43,NCP Oswald Street MSCP,NCP Limited,Award,FALSE,0141 222 2407,Oswald Street,,,Glasgow,Lanarkshire,G1 4PA,Multi-storey,On Foot,555,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,-4.260356335,55.85795315
45,NCP George Street MSCP,NCP Limited,Award,FALSE,0141 552 3150,68 Mountrose Street,,,Glasgow,Lanarkshire,G1 1RS,Multi-storey,On Foot,288,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,-4.244605545,55.86136923
50,Newcastle Central Railway Station Short Stay Car Park,Virgin Trains East Coast ,Award,FALSE,0116 366 3573,Neville Street,,,Newcastle-Upon-Tyne,Northumberland,NE1 5DL,Surface-Urban,Free,27,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,-1.616894348,54.96829468
51,Deepdale Shopping Park,Savills,Award,FALSE,01772 651648,Blackpool Road,,,Preston,Lancashire,PR1 6QY,Surface,Free,1003,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,07:00,17:00,FALSE,FALSE,07:00,17:00,FALSE,FALSE,07:00,17:00,FALSE,FALSE,07:00,17:00,FALSE,FALSE,07:00,17:00,FALSE,FALSE,07:00,17:00,FALSE,FALSE,07:00,17:00,FALSE,FALSE,Deepdale Shopping Park,-2.680426,53.772625
52,Royal Preston Hospital Car Park B,Lancashire Teaching Hospitals NHS Foundation Trust,Award,FALSE,01772 716565,Sharoe Green Lane,,,Fulwood,Preston,PR2 9HT,Surface,On Foot,225,30,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,-2.704499193,53.79086295
53,Royal Preston Hospital Car Park C,Lancashire Teaching Hospitals NHS Foundation Trust,Award,FALSE,01772 716565,Sharoe Green Lane,,,Fulwood,Preston,PR2 9HT,Surface-Urban,On Foot,50,30,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,-2.704499193,53.79086295
54,Q Park - St Enoch Car Park,Q Park Limited,Award,FALSE,0141 847 0856,Maxwell Street,,,Glasgow,Lanarkshire,G1 4EQ,Multi-storey,Contract,360,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,"st enoch's centre, clyde street, clydeside,",-4.254025784,55.8562538
55,Moore Lane Car Park,City of York Council,Award,TRUE,01904 883100,Tadcaster Road,,,York,North Yorkshire,YO24 1LW,Surface,Free,542,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,"york city centre,",-1.100084,53.948714
56,Merchant Gate MSCP,Wakefield MDC,Award,FALSE,01132 479934,Mulberry Way,,,Westgate,Wakefield,WF1 2QN,Multi-storey,On Foot,1450,59,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,-1.505194945,53.68189429
62,Crossgates Shopping Centre,Tore Properties,Award,FALSE,01132 649589,Crossgates Shopping Centre,Crossgates,,Leeds,West Yorkshire,LS15 8ET,Surface,On Foot,396,22,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,"Crossgates Shopping Centre, crossgate station, leeds city centre, thorpe park,",-1.450810796,53.80628071
63,Stonehouse Road Car Park,Babergh District Council,Award,FALSE,(none),Stonehouse Road,,,Hadleigh,Suffolk,IP7 5BH,Surface-Urban,Free,39,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,"hadleigh swimming pool,",0.960841682,52.04459426
64,Girling Street Car Park,Babergh District Council,Award,FALSE,(none),Girling Street,,,Sudbury,Suffolk,CO10 1LZ,Surface-Urban,Free,75,4,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,"sudbury town centre, sudbury market",0.731669299,52.04062784
65,High Street Car Park,Babergh District Council,Award,FALSE,(none),High Street,,,Hadleigh,Suffolk,IP7 5AD,Surface,Free,45,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,"hadleigh high street,",0.953640358,52.04443337
73,The Royal Infirmary of Edinburgh,Empark UK Limited,Award,FALSE,0131 242 7612,51 Little France Crescent,,,Edinburgh,Lothian,EH16 4SA,Surface,Pay on Exit,1740,25,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,-3.135092813,55.92192823
75,Ingliston Park & Ride,City of Edinburgh Council,Award,FALSE,0131 333 5438,Eastfield Road,,,Ingliston,Edinburgh,EH28 8LS,Surface-Rural,Free,535,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,06:45,00:00,FALSE,FALSE,06:45,00:00,FALSE,FALSE,06:45,00:00,FALSE,FALSE,06:45,00:00,FALSE,FALSE,06:45,00:00,FALSE,FALSE,06:45,00:00,FALSE,FALSE,09:45,00:00,FALSE,FALSE,"Edinburgh Zoo, Edinburgh Castle, Britannia, Scottish Parliament, Holyrood Palace, Arthurs Seat, Prin",-3.357739449,55.93784422
76,Petters Way Car Park,South Somerset District Council,Award,FALSE,01935 462048,Petters Way,,,Yeovil,Somerset,BA20 1SH,Surface-Urban,Pay & Display,217,10,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,"yeovil town centre, yeovil magistrates court, yeovil council offices, yeovil tax office",-2.634615898,50.93947364
83,Meadway East Car Park,Stockport Council,Award,FALSE,0161 474 4926,Meadway,Bramhall,,Stockport,Greater Manchester,SK1 3TT,Surface,Pay & Display,135,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,Bramhall Shopping Centre,-2.157919902,53.40459006
84,Ridings Shopping Centre,Workman FM Ltd,Award,FALSE,01924 787787,The Ridings Shopping Centre,,,Wakefield,West Yorkshire,WF1 1DS,Multi-storey,On Foot,1010,43,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,07:00,19:00,FALSE,FALSE,07:00,19:00,FALSE,FALSE,07:00,19:00,FALSE,FALSE,07:00,19:00,FALSE,FALSE,07:00,19:00,FALSE,FALSE,07:00,19:00,FALSE,FALSE,09:00,18:00,FALSE,FALSE,"ridings shopping cente, wakefield cathedral, wakefield theatre, wakefield town centre",-1.496065797,53.68184724
87,Zone D (Grantham Station),Virgin Trains East Coast ,Award,FALSE,01476 574422,Grantham Station,Station Road,,Grantham,Lincolnshire,NG31 6BT,Surface-Urban,Pay & Display,118,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,-0.643412773,52.90694384
88,Jewson Zone E Grantham,Virgin Trains East Coast ,Award,FALSE,01476 574422,Grantham Station,Station Road,,Grantham,Lincolnshire,NG31 6BT,Surface-Urban,Pay & Display,220,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,-0.643412773,52.90694384
89,Road Car Park Zone C,Virgin Trains East Coast ,Award,FALSE,0116 366 3316,Grantham Station,Station Road,,Grantham,Lincolnshire,NG31 6BT,Surface-Urban,Pay & Display,76,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,-0.643412773,52.90694384
90,Main Car Park Zone A,Virgin Trains East Coast ,Award,FALSE,0116 366 3316,Grantham Station,Station Road,,Grantham,Lincolnshire,NG31 6BT,Surface-Urban,On Foot,102,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,-0.643412773,52.90694384
91,Zone B (Grantham Station),Virgin Trains East Coast ,Award,FALSE,0116 366 3316,Grantham Station,Station Road,,Grantham,Lincolnshire,NG31 6BT,Surface-Urban,Pay & Display,82,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,-0.643412773,52.90694384
94,NCP Kingston St James Road Car Park,NCP Limited,Award,FALSE,0208 546 4171,St James Road,,,Kingston Upon Thames,Surrey,KT1 2BA,Multi-storey,Pay on Exit,381,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,-0.304256784,51.40763144
95,NCP Fairfield Car Park,NCP Limited,Award,FALSE,0845 050 7090,Ladybooth Road,,,Kingston-upon-Thames,Surrey,KT1 2PR,Multi-storey,On Foot,310,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,kingston town centre,-0.301283869,51.40947684
96,Home Office Car Park,Home Office Shared Services,Award,FALSE,0207 035 0179,2 Marsham Street,,,Westminster,London,SW1P 2DF,Underground,Contract,60,10,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,Home office,-0.130423006,51.49762148
97,"NCP Lanark Road Car Park, London",NCP Limited,Award,FALSE,0345-0507080,Lanark Road,,,St Johns Wood,London,W9 1UB,Underground,Pay on Exit,65,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,08:00,20:00,FALSE,FALSE,08:00,20:00,FALSE,FALSE,08:00,20:00,FALSE,FALSE,08:00,20:00,FALSE,FALSE,08:00,20:00,FALSE,FALSE,,,TRUE,TRUE,,,TRUE,TRUE,st johns wood,-0.181409887,51.52803612
98,NCP Crawford Street Car Park London,NCP Limited,Award,FALSE,0207 706 2273,43a Crawford Street,,,Westminster,London,W1H 1JR,Underground,Pay on Exit,66,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,07:00,19:00,FALSE,FALSE,07:00,19:00,FALSE,FALSE,07:00,19:00,FALSE,FALSE,07:00,19:00,FALSE,FALSE,07:00,19:00,FALSE,FALSE,07:00,19:00,FALSE,FALSE,07:00,19:00,FALSE,FALSE,,-0.162438745,51.51940424
104,Grimston Bar Park & Ride,City of York Council,Award,FALSE,01904 413108,Hull Road,,,York,North Yorkshire,YO19 5LA,Surface,Free,920,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,07:00,20:30,FALSE,FALSE,07:00,20:30,FALSE,FALSE,07:00,20:30,FALSE,FALSE,07:00,20:30,FALSE,FALSE,07:00,20:30,FALSE,FALSE,07:00,20:30,FALSE,FALSE,09:30,18:30,FALSE,FALSE,"york city centre,",-1.016343498,53.95640638
